component_key,title,menu_code,route_path,phase,view_permission,schema_tables,endpoints,backend_status
system.access.permissions,权限目录,system.access.permissions,/system/access/permissions,P1,iam.permission.read,iam.permissions,GET /admin-api/v1/permissions,existing
system.access.menus,菜单,system.access.menus,/system/access/menus,P1,sys.menu.read,sys.menus;sys.role_menus,GET /admin-api/v1/menus/tree;POST /admin-api/v1/menus;PATCH /admin-api/v1/menus/{id};POST /admin-api/v1/menus/{id}/move;DELETE /admin-api/v1/menus/{id},existing
system.storage.files,文件管理,system.storage.files,/system/storage/files,P2,storage.file.read,storage.files;storage.upload_sessions;storage.upload_parts;storage.file_usages,GET /admin-api/v1/files/upload-policy;GET /admin-api/v1/files;GET /admin-api/v1/files/{id};POST /admin-api/v1/files/upload-sessions;GET /admin-api/v1/files/upload-sessions/{id};PUT /admin-api/v1/files/upload-sessions/{id}/parts/{partNumber};POST /admin-api/v1/files/upload-sessions/{id}/complete;DELETE /admin-api/v1/files/upload-sessions/{id};POST /admin-api/v1/files/{id}/presign-download;GET /admin-api/v1/files/{id}/content;GET /admin-api/v1/files/{id}/usages;DELETE /admin-api/v1/files/{id},existing
system.notifications.notices,公告管理,system.notifications.notices,/system/notifications/notices,P2,notify.notice.read,notify.messages;notify.recipients,GET /admin-api/v1/notices;POST /admin-api/v1/notices;PATCH /admin-api/v1/notices/{id};POST /admin-api/v1/notices/{id}/publish;POST /admin-api/v1/notices/{id}/cancel,existing
system.notifications.messages,站内消息,system.notifications.messages,/system/notifications/messages,P2,notify.message.read,notify.messages;notify.recipients,GET /admin-api/v1/messages;POST /admin-api/v1/messages;GET /admin-api/v1/messages/{id};PATCH /admin-api/v1/messages/{id};POST /admin-api/v1/messages/{id}/publish;POST /admin-api/v1/messages/{id}/cancel;GET /admin-api/v1/messages/{id}/recipients,existing
system.notifications.templates,通知模板,system.notifications.templates,/system/notifications/templates,P2,notify.template.read,notify.templates,GET /admin-api/v1/notification-templates;POST /admin-api/v1/notification-templates;PATCH /admin-api/v1/notification-templates/{id},existing
system.notifications.deliveries,投递记录,system.notifications.deliveries,/system/notifications/deliveries,P2,notify.delivery.read,notify.deliveries,GET /admin-api/v1/notification-deliveries;GET /admin-api/v1/notification-deliveries/{id};POST /admin-api/v1/notification-deliveries/{id}/retry,existing
system.integrations.schedules,定时任务,system.integrations.schedules,/system/integrations/schedules,P2,jobs.schedule.read,jobs.schedules;jobs.schedule_runs,GET /admin-api/v1/job-handlers;POST /admin-api/v1/job-schedules/preview;GET /admin-api/v1/job-schedules;POST /admin-api/v1/job-schedules;PATCH /admin-api/v1/job-schedules/{id};POST /admin-api/v1/job-schedules/{id}/pause;POST /admin-api/v1/job-schedules/{id}/resume;POST /admin-api/v1/job-schedules/{id}/execute;GET /admin-api/v1/job-schedules/{id}/runs,existing
system.integrations.api-clients,API 客户端,system.integrations.api-clients,/system/integrations/api-clients,P2,sys.api_client.read,sys.api_clients;sys.api_client_secrets;sys.api_client_permissions,GET /admin-api/v1/api-clients;POST /admin-api/v1/api-clients;PATCH /admin-api/v1/api-clients/{id};POST /admin-api/v1/api-clients/{id}/secrets;DELETE /admin-api/v1/api-clients/{id}/secrets/{secret_id};PUT /admin-api/v1/api-clients/{id}/permissions,existing
system.integrations.webhooks,Webhook,system.integrations.webhooks,/system/integrations/webhooks,P2,sys.webhook.read,sys.webhook_endpoints;sys.webhook_deliveries;jobs.outbox_events,GET /admin-api/v1/webhooks;POST /admin-api/v1/webhooks;PATCH /admin-api/v1/webhooks/{id};POST /admin-api/v1/webhooks/{id}/test;GET /admin-api/v1/webhooks/{id}/deliveries,existing
system.security.operation-logs,操作日志,system.security.operation-logs,/system/security/operation-logs,P1,audit.operation.read,audit.operation_logs,GET /admin-api/v1/audit/operations,existing
system.security.login-logs,登录日志,system.security.login-logs,/system/security/login-logs,P1,audit.login.read,audit.login_events,GET /admin-api/v1/audit/logins,existing
system.security.events,安全事件,system.security.events,/system/security/events,P1,audit.security.read,audit.security_events,GET /admin-api/v1/audit/security-events;GET /admin-api/v1/audit/security-events/{id};POST /admin-api/v1/audit/security-events/{id}/resolve,existing
system.security.block-rules,访问控制,system.security.block-rules,/system/security/block-rules,P2,iam.block_rule.read,iam.block_rules,GET /admin-api/v1/block-rules;POST /admin-api/v1/block-rules;PATCH /admin-api/v1/block-rules/{id};DELETE /admin-api/v1/block-rules/{id},existing
system.monitoring.sessions,在线会话,system.monitoring.sessions,/system/monitoring/sessions,P1,iam.session.read,iam.sessions;iam.devices;iam.refresh_tokens,GET /admin-api/v1/online-sessions;DELETE /admin-api/v1/online-sessions/{id},existing
system.monitoring.health,服务状态,system.monitoring.health,/system/monitoring/health,P2,ops.health.read,sys.modules;jobs.schedule_runs,GET /admin-api/v1/ops/health;GET /admin-api/v1/ops/runtime-summary,existing
profile.basic,基本设置,,/profile/basic,P0,authenticated/self,iam.users;iam.tenant_members;storage.files,GET /admin-api/v1/me;PATCH /admin-api/v1/me;POST /admin-api/v1/me/avatar/upload-session;PUT /admin-api/v1/me/avatar/upload-sessions/{id}/content;GET /admin-api/v1/me/avatar/content,existing
profile.security,安全设置,,/profile/security,P0,authenticated/self,iam.user_credentials;iam.sessions;iam.devices;iam.mfa_factors;iam.mfa_recovery_codes,POST /admin-api/v1/me/password/change;GET /admin-api/v1/me/sessions;DELETE /admin-api/v1/me/sessions/{id};GET /admin-api/v1/me/devices;DELETE /admin-api/v1/me/devices/{id};GET /admin-api/v1/me/mfa;POST /admin-api/v1/me/mfa/totp/enroll;POST /admin-api/v1/me/mfa/totp/verify;DELETE /admin-api/v1/me/mfa/totp;POST /admin-api/v1/me/mfa/recovery-codes/rotate,existing
profile.connections,第三方绑定,,/profile/connections,P3,authenticated/self,iam.oauth_accounts,GET /admin-api/v1/me/oauth-accounts;POST /admin-api/v1/me/oauth/{provider}/start;DELETE /admin-api/v1/me/oauth/{provider},existing
auth.login,登录页,,/login,P0,anonymous-only,iam.sessions;iam.refresh_tokens;audit.login_events,GET /admin-api/v1/auth/public-config;POST /admin-api/v1/auth/login;POST /admin-api/v1/auth/token/refresh,existing
auth.register,注册页,,/register,P0,anonymous-only,iam.users;iam.user_credentials;iam.tenant_members,GET /admin-api/v1/auth/public-config;POST /admin-api/v1/auth/register,existing
auth.forgot-password,找回密码页,,/forgot-password,P0,anonymous-only,iam.verification_challenges,POST /admin-api/v1/auth/password/forgot,existing
auth.reset-password,重置密码页,,/reset-password,P0,anonymous-only,iam.verification_challenges;iam.user_credentials;iam.password_history,POST /admin-api/v1/auth/password/reset,existing
